Date,Open,High,Low,Adj Close,Volume,Stock Name
30-07-2020,59.540001,60.310001,58.810001,59.650845,271700,DR.REDDY
31-07-2020,60.25,60.950001,60.200001,60.526894,170700,DR.REDDY
03-08-2020,60.630001,60.889999,59.73,59.849949,150500,DR.REDDY
04-08-2020,61.009998,61.950001,60.830002,61.144108,214200,DR.REDDY
05-08-2020,61.509998,61.540001,60.700001,61.044559,126300,DR.REDDY
06-08-2020,61.110001,61.580002,60.810001,60.90519,90500,DR.REDDY
07-08-2020,61.009998,61.119999,60.200001,60.506985,64900,DR.REDDY
10-08-2020,62.169998,62.599998,61.799999,62.020157,176400,DR.REDDY
11-08-2020,61.91,61.950001,60.869999,60.984825,126700,DR.REDDY
12-08-2020,60.700001,61.66,60.459999,60.626446,141500,DR.REDDY
13-08-2020,60.349998,60.82,60.169998,60.427345,157800,DR.REDDY
14-08-2020,60.59,60.970001,60.59,60.516941,92000,DR.REDDY
17-08-2020,61.130001,61.580002,60.669998,60.845455,122900,DR.REDDY
18-08-2020,61.360001,61.360001,60.68,60.656311,108500,DR.REDDY
19-08-2020,60.810001,60.810001,59.5,59.332283,169400,DR.REDDY
20-08-2020,59.439999,59.669998,58.790001,59.382061,66800,DR.REDDY
21-08-2020,59.880001,60.209999,59.43,59.770309,70100,DR.REDDY
24-08-2020,60.5,60.599998,59.73,59.830036,62800,DR.REDDY
25-08-2020,59.84,60.290001,59.610001,59.620983,137800,DR.REDDY
26-08-2020,60,60.139999,59.220001,59.581161,89600,DR.REDDY
27-08-2020,60.009998,60.169998,59.310001,59.431835,132400,DR.REDDY
28-08-2020,59.43,59.630001,59.119999,59.113274,79300,DR.REDDY
31-08-2020,58.080002,58.759998,57.540001,57.908707,163300,DR.REDDY
01-09-2020,59.700001,59.82,58.709999,58.854439,185300,DR.REDDY
02-09-2020,59.049999,59.77,58.509998,59.382061,127200,DR.REDDY
03-09-2020,60,60.450001,59.200001,59.312378,178900,DR.REDDY
04-09-2020,58.209999,59.139999,57.860001,58.535877,150800,DR.REDDY
08-09-2020,58.34,59.639999,58.16,58.40646,167300,DR.REDDY
09-09-2020,59.919998,61.169998,59.919998,60.506985,145000,DR.REDDY
10-09-2020,59.990002,60.490002,59.73,59.551296,178500,DR.REDDY
11-09-2020,60.200001,60.380001,59.790001,59.630939,57900,DR.REDDY
14-09-2020,59.869999,60.07,59.599998,59.421879,69400,DR.REDDY
15-09-2020,60.549999,61.029999,60.389999,60.218288,175400,DR.REDDY
16-09-2020,62.77,63.810001,62.299999,62.348675,173500,DR.REDDY
17-09-2020,64.870003,66.690002,64.800003,66.251068,214200,DR.REDDY
18-09-2020,72.739998,73.5,71.879997,72.084747,564000,DR.REDDY
21-09-2020,70.150002,70.190002,68.800003,69.466553,175700,DR.REDDY
22-09-2020,70.059998,70.129997,69.540001,69.695526,183600,DR.REDDY
23-09-2020,69.099998,69.239998,68.330002,68.252037,269300,DR.REDDY
24-09-2020,68.07,68.080002,67.260002,67.455635,243400,DR.REDDY
